Haarstudio im Zentrum GmbH;Frankfurter Str. 183, 63263 Neu-Isenburg, Deutschland;+49 6102 320500;False;False;24.09.15 17:21;24.09.15 17:21;8.69492;50.04735;https://plus.google.com/101331687540093794072/about?hl=en-US;http://haarstudioimzentrum.de/
Salon Meyer & Marks Frankfurt;Zeil 106, 60313 Frankfurt am Main, Deutschland;+49 69 21998670;False;False;24.09.15 17:21;24.09.15 17:21;8.681886;50.114875;https://plus.google.com/106566419291483710458/about?hl=en-US;http://www.meyer-marks.com/
Licci Claudio;Große Bockenheimer Str. 43, 60313 Frankfurt am Main, Deutschland;+49 69 13379222;False;False;24.09.15 17:21;24.09.15 17:21;8.673473;50.114633;https://plus.google.com/112570806359104024094/about?hl=en-US;http://www.licci-friseure.de/
C & M Company GmbH;Große Eschenheimer Str. 39A, 60313 Frankfurt am Main, Deutschland;+49 69 92886622;False;False;24.09.15 17:21;24.09.15 17:21;8.679434;50.115908;https://plus.google.com/110413145543196244853/about?hl=en-US;http://www.cundm-company.de/
essanelle Ihr Friseur;Borsigallee 26, 60388 Frankfurt am Main, Deutschland;+49 6109 31813;False;False;24.09.15 17:21;24.09.15 17:21;8.75065;50.139969;https://plus.google.com/115525091688964807355/about?hl=en-US;http://www.essanelle.de/
K1-FRISEURE;Glauburgstraße 38, 60318 Frankfurt am Main, Deutschland;+49 69 95504025;False;False;24.09.15 17:21;24.09.15 17:21;8.687155;50.12692;https://plus.google.com/118106157487220705664/about?hl=en-US;http://www.k1-friseure.de/
Abschnitt Gino's Hair Design Biagio Storelli GmbH;Elefantengasse 2, 60313 Frankfurt am Main, Deutschland;+49 69 5962274;False;False;24.09.15 17:21;24.09.15 17:21;8.686642;50.117092;https://plus.google.com/104664964290653864474/about?hl=en-US;http://www.frisoerabschnitt.de/
MIREL Friseure Praunheim;Heerstraße 50, 60488 Frankfurt am Main, Deutschland;+49 69 578244;False;False;24.09.15 17:21;24.09.15 17:21;8.616647;50.148613;https://plus.google.com/111748666227418098559/about?hl=en-US;http://www.mirel-friseure.de/
MIREL Friseure Riedberg;Altenhöferallee 80, 60438 Frankfurt am Main, Deutschland;+49 69 27277997;False;False;24.09.15 17:21;24.09.15 17:21;8.629404;50.178053;https://plus.google.com/102496124751534348475/about?hl=en-US;http://www.mirel-friseure.de/
Mekki;Eschersheimer Landstraße 355A, 60320 Frankfurt am Main, Deutschland;+49 69 562677;False;False;24.09.15 17:21;24.09.15 17:21;8.66836;50.14292;https://plus.google.com/106674764157800233577/about?hl=en-US;http://www.friseur-mekki.de/
Ziemann Ingrid;Eschersheimer Landstraße 533, 60431 Frankfurt am Main, Deutschland;+49 69 512375;False;False;24.09.15 17:21;24.09.15 17:21;8.661098;50.152661;https://plus.google.com/106881791115832214418/about?hl=en-US;http://friseur-eschersheim.de/
Haare Peter Hartmann GmbH;Frankfurter Str. 59, 63067 Offenbach am Main, Deutschland;+49 69 885805;False;False;24.09.15 17:21;24.09.15 17:21;8.75795;50.104838;https://plus.google.com/104693511203595243309/about?hl=en-US;http://www.haare-peter-hartmann.de/
Schamlos;Eckenheimer Landstraße 124, 60318 Frankfurt am Main, Deutschland;+49 69 591655;False;False;24.09.15 17:21;24.09.15 17:21;8.685638;50.127178;https://plus.google.com/104561325093565946986/about?hl=en-US;http://www.schamlos-friseure.de/
indiskret Friseur;Rotlintstraße 52, 60316 Frankfurt am Main, Deutschland;+49 69 438429;False;False;24.09.15 17:21;24.09.15 17:21;8.69417;50.126567;https://plus.google.com/109540315359049603621/about?hl=en-US;http://www.indiskret-friseure.de/
Francesco Leonardi;Alt-Rödelheim 38, 60489 Frankfurt am Main, Deutschland;+49 69 7893983;False;False;24.09.15 17:21;24.09.15 17:21;8.611967;50.125433;https://plus.google.com/116215848432570697415/about?hl=en-US;None
Frisör Klier;60388 Frankfurt/Main, Deutschland;+49 6109 32252;False;False;24.09.15 17:21;24.09.15 17:21;8.752516;50.140829;https://plus.google.com/117192369529638408559/about?hl=en-US;http://www.klier.de/
Schloberg GmbH;Schweizer Str. 11, 60594 Frankfurt am Main, Deutschland;+49 69 15055650;False;False;24.09.15 17:21;24.09.15 17:21;8.678609;50.104759;https://plus.google.com/103135799133846270164/about?hl=en-US;http://www.schloberg-reich.de/
Hammerschmidt Barbara;Ginnheimer Landstraße 164, 60431 Frankfurt am Main, Deutschland;+49 69 533893;False;False;24.09.15 17:21;24.09.15 17:21;8.647878;50.141058;https://plus.google.com/115932409013273463897/about?hl=en-US;http://www.friseursalon-hammerschmidt.de/
Purehair Frankfurt;Eschersheimer Landstraße 36, 60322 Frankfurt am Main, Deutschland;+49 69 90550470;False;False;24.09.15 17:21;24.09.15 17:21;8.677011;50.120312;https://plus.google.com/100434433563785013454/about?hl=en-US;http://my-purehair.de/
Frisör Klier;Limescorso 8, Nordwestzentrum/Galeria Kaufhof, 60439 Frankfurt/Main, Deutschland;+49 69 50697794;False;False;24.09.15 17:21;24.09.15 17:21;8.633085;50.156326;https://plus.google.com/107974956537997504168/about?hl=en-US;http://www.klier.de/
Coiffeur Torre;Mainzer Landstraße 305, 60326 Frankfurt am Main, Germany;+49 69 7391333;False;False;24.09.15 17:21;24.09.15 17:21;8.639554;50.102345;https://plus.google.com/114467965518441677159/about?hl=en-US;http://www.coiffeur-torre.de/index.html
Super Cut;Zeil 90, 60313 Frankfurt am Main, Germany;+49 69 21935323;False;False;24.09.15 17:21;24.09.15 17:21;8.68449;50.11513;https://plus.google.com/112286111988869900570/about?hl=en-US;http://www.supercut.de/
Oberräder Frisierstubb;Offenbacher Landstraße 300, 60599 Frankfurt am Main, Germany;+49 69 652523;False;False;24.09.15 17:21;24.09.15 17:21;8.72031;50.100013;https://plus.google.com/108585821650829046064/about?hl=en-US;http://www.frisierstubb.net/
Friseursalon Egoist e.K;Alte Mainzer G. 4, 60311 Frankfurt am Main, Germany;+49 69 285348;False;False;24.09.15 17:21;24.09.15 17:21;8.681206;50.109433;https://plus.google.com/100451878795186104272/about?hl=en-US;http://www.salon-egoist.de/
Peter Ziegler Haarschnitte;Kaiserhofstraße 5, 60313 Frankfurt am Main, Germany;+49 69 21995533;False;False;24.09.15 17:21;24.09.15 17:21;8.674477;50.11486;https://plus.google.com/112553833788504657355/about?hl=en-US;http://www.peter-ziegler.de/
Haarfabrik;Frankfurter Str. 143, 63263 Neu-Isenburg, Germany;+49 6102 8827455;False;False;24.09.15 17:21;24.09.15 17:21;8.695122;50.050154;https://plus.google.com/117014986309615869851/about?hl=en-US;http://www.haarfabrik.de/
TOP-HAIRmasters by D-S Friseure GmbH;Kaiserstraße 34, 60329 Frankfurt am Main, Germany;+49 69 24248213;False;False;24.09.15 17:21;24.09.15 17:21;8.671121;50.109131;https://plus.google.com/109848673450607882591/about?hl=en-US;http://www.hairmasters-frankfurt.de/
Frisör Klier GmbH;Europa-Allee 6, 60327 Frankfurt am Main, Germany;+49 69 74221904;False;False;24.09.15 17:21;24.09.15 17:21;8.651545;50.109862;https://plus.google.com/108623906500735098004/about?hl=en-US;http://www.klier.de/
Linn Hairstyle GmbH;Berger Str. 138, 60385 Frankfurt am Main, Germany;+49 69 442930;False;False;24.09.15 17:21;24.09.15 17:21;8.702813;50.123561;https://plus.google.com/104956987423075500685/about?hl=en-US;http://www.linn-hairstyle.de/friseur-frankfurt/
Arthair GmbH;Stephanstraße 1, 60313 Frankfurt am Main, Germany;+49 69 21028890;False;False;24.09.15 17:21;24.09.15 17:21;8.684001;50.116315;https://plus.google.com/114060734785843294994/about?hl=en-US;http://www.arthair.de/
Haarstudio Kreativ Inh. Frau Isabell Yildiz;Bolongarostraße 131, 65929 Frankfurt am Main, Germany;+49 69 30862937;False;False;24.09.15 17:21;24.09.15 17:21;8.549789;50.099904;https://plus.google.com/111126855635209766641/about?hl=en-US;http://www.studio-kreativ.com/
Relax'N;Offenbacher Landtsr. 367, 60599 Frankfurt, Germany;+49 69 59607467;False;False;24.09.15 17:21;24.09.15 17:21;8.725583;50.100369;https://plus.google.com/108444969643283957702/about?hl=en-US;http://www.relax-n.de/
Bel Hair Frisuren;Hans-Thoma-Straße 13, 60596 Frankfurt am Main, Germany;+49 69 61991256;False;False;24.09.15 17:21;24.09.15 17:21;8.677969;50.103286;https://plus.google.com/102726981779846474941/about?hl=en-US;http://www.belhair.de/
K. Gloser Friseur;Niederurseler Landstraße 162, 60439 Frankfurt am Main, Germany;+49 69 95775188;False;False;24.09.15 17:21;24.09.15 17:21;8.622252;50.165396;https://plus.google.com/114212936468386814238/about?hl=en-US;http://www.friseur-gloser.de/
Der Naturfrisur Juliana;Am Weißen Turm 32, 60388 Frankfurt am Main, Germany;+49 6109 503944;False;False;24.09.15 17:21;24.09.15 17:21;8.748859;50.156199;https://plus.google.com/114628729740435020612/about?hl=en-US;http://naturfrisoer-frankfurt.de/
Klaus Peter Ochs;Zeil 105, 60313 Frankfurt am Main, Germany;+49 69 28681;False;False;24.09.15 17:21;24.09.15 17:21;8.68211;50.113953;https://plus.google.com/111379752165717767736/about?hl=en-US;http://www.kp-ochs.de/
Obscura Styles Friseure;Glauburgstraße 16, 60318 Frankfurt am Main, Germany;+49 69 90555959;False;False;24.09.15 17:21;24.09.15 17:21;8.690311;50.127315;https://plus.google.com/100623693137939292825/about?hl=en-US;http://www.obscura-styles.de/
Frisör Klier;Ernst-Biss-Str. 9, toom-Markt, 65933 Frankfurt/Main, Germany;+49 69 388272;False;False;24.09.15 17:21;24.09.15 17:21;8.590668;50.097516;https://plus.google.com/102434618849530023341/about?hl=en-US;http://www.klier.de/
Friseursalon Arikan;Frankenallee 74, 60327 Frankfurt am Main, Germany;+49 69 7381451;False;False;24.09.15 17:21;24.09.15 17:21;8.64451;50.1055;https://plus.google.com/101227763499433562381/about?hl=en-US;http://www.salonarikan.de/
Friseur- und Kosmetik-Innung;Schönstraße 21, 60327 Frankfurt am Main, Germany;+49 69 233517;False;False;24.09.15 17:21;24.09.15 17:21;8.65667;50.10138;https://plus.google.com/104829897633891296491/about?hl=en-US;http://www.fki-ffm.de/
Tatjana Haar-Style;Sandweg 98, 60316 Frankfurt am Main, Germany;+49 69 17489684;False;False;24.09.15 17:21;24.09.15 17:21;8.700971;50.121452;https://plus.google.com/106648208953033684271/about?hl=en-US;http://www.tatjana-haar-style.de/
